DexNumber	Name	DefName	BorealForest	Tundra	ColdBog	IceSheet	SeaIce	TemperateForest	TemperateSwamp	TropicalRainforest	TropicalSwamp	AridShrubland	Desert	ExtremeDesert
1	Bulbasaur	Bulbasaur				0	0						0	0
2	Ivysaur	Ivysaur				0	0						0	0
3	Venusaur	Venusaur				0	0						0	0
4	Charmander	Charmander	0	0	0	0	0			0	0			
5	Charmeleon	Charmeleon	0	0	0	0	0			0	0			
6	Charizard	Charizard	0	0	0	0	0			0	0			
7	Squirtle	Squirtle					0						0	0
8	Wartortle	Wartortle					0						0	0
9	Blastoise	Blastoise					0						0	0
10	Caterpie	Caterpie				0	0						0	0
11	Metapod	Metapod				0	0						0	0
12	Butterfree	Butterfree				0	0						0	0
13	Weedle	Weedle				0	0						0	0
14	Kakuna	Kakuna				0	0						0	0
15	Beedrill	Beedrill				0	0						0	0
16	Pidgey	Pidgey				0	0							0
17	Pidgeotto	Pidgeotto				0	0							0
18	Pidgeot	Pidgeot				0	0							0
19	Rattata	Rattata				0	0							0
20	Raticate	Raticate				0	0							0
21	Spearow	Spearow				0	0							0
22	Fearow	Fearow				0	0							0
23	Ekans	Ekans				0	0							
24	Arbok	Arbok				0	0							
25	Pikachu	Pikachu				0	0						0	0
26	Raichu	Raichu				0	0						0	0
27	Sandshrew	Sandshrew				0	0							
28	Sandslash	Sandslash				0	0							
29	Nidoran?	NidoranF				0	0							0
30	Nidorina	Nidorina				0	0							0
31	Nidoqueen	Nidoqueen				0	0							0
32	Nidoran?	NidoranM				0	0							0
33	Nidorino	Nidorino				0	0							0
34	Nidoking	Nidoking				0	0							0
35	Clefairy	Clefairy				0	0						0	0
36	Clefable	Clefable				0	0						0	0
37	Vulpix	Vulpix	0	0	0	0	0			0	0			
38	Ninetales	Ninetales	0	0	0	0	0			0	0			
39	Jigglypuff	Jigglypuff				0	0						0	0
40	Wigglytuff	Wigglytuff				0	0						0	0
41	Zubat	Zubat				0	0						0	0
42	Golbat	Golbat				0	0						0	0
43	Oddish	Oddish				0	0						0	0
44	Gloom	Gloom				0	0						0	0
45	Vileplume	Vileplume				0	0						0	0
46	Paras	Paras				0	0						0	0
47	Parasect	Parasect				0	0						0	0
48	Venonat	Venonat				0	0						0	0
49	Venomoth	Venomoth				0	0						0	0
50	Diglett	Diglett				0	0							
51	Dugtrio	Dugtrio				0	0							
52	Meowth	Meowth				0	0							0
53	Persian	Persian				0	0							0
54	Psyduck	Psyduck					0						0	0
55	Golduck	Golduck					0						0	0
56	Mankey	Mankey				0	0						0	0
57	Primeape	Primeape				0	0						0	0
58	Growlithe	Growlithe	0	0	0	0	0			0	0			
59	Arcanine	Arcanine	0	0	0	0	0			0	0			
60	Poliwag	Poliwag					0						0	0
61	Poliwhirl	Poliwhirl					0						0	0
62	Poliwrath	Poliwrath					0						0	0
63	Abra	Abra				0	0						0	0
64	Kadabra	Kadabra				0	0						0	0
65	Alakazam	Alakazam				0	0						0	0
66	Machop	Machop				0	0							0
67	Machoke	Machoke				0	0							0
68	Machamp	Machamp				0	0							0
69	Bellsprout	Bellsprout				0	0						0	0
70	Weepinbell	Weepinbell				0	0						0	0
71	Victreebel	Victreebel				0	0						0	0
72	Tentacool	Tentacool					0						0	0
73	Tentacruel	Tentacruel					0						0	0
74	Geodude	Geodude				0	0							
75	Graveler	Graveler				0	0							
76	Golem	Golem				0	0							
77	Ponyta	Ponyta	0	0	0	0	0			0	0			
78	Rapidash	Rapidash	0	0	0	0	0			0	0			
79	Slowpoke	Slowpoke					0						0	0
80	Slowbro	Slowbro					0						0	0
81	Magnemite	Magnemite				0	0							
82	Magneton	Magneton				0	0							
83	Farfetch'd	Farfetchd				0	0						0	0
84	Doduo	Doduo				0	0							0
85	Dodrio	Dodrio				0	0							0
86	Seel	Seel										0	0	0
87	Dewgong	Dewgong										0	0	0
88	Grimer	Grimer	0	0		0	0	0				0	0	0
89	Muk	Muk	0	0		0	0	0				0	0	0
90	Shellder	Shellder												
91	Cloyster	Cloyster												
92	Gastly	Gastly												
93	Haunter	Haunter												
